year,key,count,fatalities
1970,"Aerial Work (Calibration, Photo)",0,0
1970,Agricultural,0,0
1970,Ambulance,0,0
1970,Cargo,1,2
1970,Demonstration,0,0
1970,Executive,1,2
1970,Ferry/positioning,3,0
1970,Fire fighting,0,0
1970,Illegal Flight,0,0
1970,International Scheduled Passenger,2,1
1970,Military,5,134
1970,Non Scheduled Passenger,2,30
1970,Official state flight,0,0
1970,Parachuting,0,0
1970,Passenger,0,0
1970,Private,0,0
1970,Scheduled Passenger,11,63
1970,Survey/research,0,0
1970,Test,1,2
1970,Training,1,0
1970,Unknown,0,0
1971,"Aerial Work (Calibration, Photo)",0,0
1971,Agricultural,0,0
1971,Ambulance,0,0
1971,Cargo,1,4
1971,Demonstration,0,0
1971,Executive,0,0
1971,Ferry/positioning,1,3
1971,Fire fighting,0,0
1971,Illegal Flight,0,0
1971,International Scheduled Passenger,1,49
1971,Military,5,34
1971,Non Scheduled Passenger,0,0
1971,Official state flight,0,0
1971,Parachuting,0,0
1971,Passenger,0,0
1971,Private,0,0
1971,Scheduled Passenger,8,307
1971,Survey/research,0,0
1971,Test,0,0
1971,Training,0,0
1971,Unknown,1,4
1972,"Aerial Work (Calibration, Photo)",0,0
1972,Agricultural,0,0
1972,Ambulance,0,0
1972,Cargo,2,5
1972,Demonstration,0,0
1972,Executive,2,3
1972,Ferry/positioning,1,10
1972,Fire fighting,0,0
1972,Illegal Flight,0,0
1972,International Scheduled Passenger,2,64
1972,Military,8,111
1972,Non Scheduled Passenger,3,159
1972,Official state flight,0,0
1972,Parachuting,0,0
1972,Passenger,0,0
1972,Private,0,0
1972,Scheduled Passenger,14,465
1972,Survey/research,0,0
1972,Test,0,0
1972,Training,1,6
1972,Unknown,1,2
1973,"Aerial Work (Calibration, Photo)",0,0
1973,Agricultural,0,0
1973,Ambulance,0,0
1973,Cargo,0,0
1973,Demonstration,0,0
1973,Executive,0,0
1973,Ferry/positioning,0,0
1973,Fire fighting,0,0
1973,Illegal Flight,0,0
1973,International Scheduled Passenger,6,231
1973,Military,1,24
1973,Non Scheduled Passenger,0,0
1973,Official state flight,0,0
1973,Parachuting,0,0
1973,Passenger,0,0
1973,Private,0,0
1973,Scheduled Passenger,15,391
1973,Survey/research,0,0
1973,Test,0,0
1973,Training,1,0
1973,Unknown,0,0
1974,"Aerial Work (Calibration, Photo)",0,0
1974,Agricultural,0,0
1974,Ambulance,0,0
1974,Cargo,2,4
1974,Demonstration,0,0
1974,Executive,0,0
1974,Ferry/positioning,1,3
1974,Fire fighting,0,0
1974,Illegal Flight,0,0
1974,International Scheduled Passenger,0,0
1974,Military,1,7
1974,Non Scheduled Passenger,1,32
1974,Official state flight,1,3
1974,Parachuting,0,0
1974,Passenger,0,0
1974,Private,0,0
1974,Scheduled Passenger,4,109
1974,Survey/research,0,0
1974,Test,0,0
1974,Training,1,2
1974,Unknown,1,0
1975,"Aerial Work (Calibration, Photo)",0,0
1975,Agricultural,0,0
1975,Ambulance,0,0
1975,Cargo,2,6
1975,Demonstration,0,0
1975,Executive,0,0
1975,Ferry/positioning,1,0
1975,Fire fighting,0,0
1975,Illegal Flight,1,2
1975,International Scheduled Passenger,4,0
1975,Military,3,36
1975,Non Scheduled Passenger,2,188
1975,Official state flight,0,0
1975,Parachuting,0,0
1975,Passenger,0,0
1975,Private,0,0
1975,Scheduled Passenger,8,69
1975,Survey/research,0,0
1975,Test,0,0
1975,Training,0,0
1975,Unknown,0,0
1976,"Aerial Work (Calibration, Photo)",0,0
1976,Agricultural,0,0
1976,Ambulance,0,0
1976,Cargo,2,8
1976,Demonstration,0,0
1976,Executive,1,7
1976,Ferry/positioning,1,0
1976,Fire fighting,0,0
1976,Illegal Flight,0,0
1976,International Scheduled Passenger,3,74
1976,Military,4,47
1976,Non Scheduled Passenger,0,0
1976,Official state flight,0,0
1976,Parachuting,0,0
1976,Passenger,0,0
1976,Private,1,5
1976,Scheduled Passenger,8,405
1976,Survey/research,0,0
1976,Test,1,2
1976,Training,0,0
1976,Unknown,0,0
1977,"Aerial Work (Calibration, Photo)",0,0
1977,Agricultural,0,0
1977,Ambulance,0,0
1977,Cargo,3,10
1977,Demonstration,1,0
1977,Executive,2,4
1977,Ferry/positioning,0,0
1977,Fire fighting,0,0
1977,Illegal Flight,0,0
1977,International Scheduled Passenger,2,33
1977,Military,2,22
1977,Non Scheduled Passenger,2,75
1977,Official state flight,0,0
1977,Parachuting,0,0
1977,Passenger,0,0
1977,Private,0,0
1977,Scheduled Passenger,3,146
1977,Survey/research,0,0
1977,Test,1,2
1977,Training,2,11
1977,Unknown,0,0
1978,"Aerial Work (Calibration, Photo)",0,0
1978,Agricultural,0,0
1978,Ambulance,0,0
1978,Cargo,0,0
1978,Demonstration,0,0
1978,Executive,1,0
1978,Ferry/positioning,2,8
1978,Fire fighting,0,0
1978,Illegal Flight,0,0
1978,International Scheduled Passenger,1,0
1978,Military,5,101
1978,Non Scheduled Passenger,0,0
1978,Official state flight,0,0
1978,Parachuting,0,0
1978,Passenger,0,0
1978,Private,0,0
1978,Scheduled Passenger,3,2
1978,Survey/research,0,0
1978,Test,1,3
1978,Training,2,1
1978,Unknown,1,0
1979,"Aerial Work (Calibration, Photo)",0,0
1979,Agricultural,0,0
1979,Ambulance,0,0
1979,Cargo,3,6
1979,Demonstration,0,0
1979,Executive,0,0
1979,Ferry/positioning,0,0
1979,Fire fighting,0,0
1979,Illegal Flight,0,0
1979,International Scheduled Passenger,4,242
1979,Military,0,0
1979,Non Scheduled Passenger,4,12
1979,Official state flight,0,0
1979,Parachuting,0,0
1979,Passenger,0,0
1979,Private,0,0
1979,Scheduled Passenger,7,88
1979,Survey/research,0,0
1979,Test,0,0
1979,Training,1,6
1979,Unknown,0,0
1980,"Aerial Work (Calibration, Photo)",0,0
1980,Agricultural,0,0
1980,Ambulance,0,0
1980,Cargo,5,6
1980,Demonstration,0,0
1980,Executive,0,0
1980,Ferry/positioning,0,0
1980,Fire fighting,0,0
1980,Illegal Flight,0,0
1980,International Scheduled Passenger,0,0
1980,Military,2,18
1980,Non Scheduled Passenger,4,58
1980,Official state flight,0,0
1980,Parachuting,0,0
1980,Passenger,0,0
1980,Private,0,0
1980,Scheduled Passenger,7,465
1980,Survey/research,0,0
1980,Test,0,0
1980,Training,0,0
1980,Unknown,0,0
1981,"Aerial Work (Calibration, Photo)",0,0
1981,Agricultural,0,0
1981,Ambulance,0,0
1981,Cargo,2,4
1981,Demonstration,0,0
1981,Executive,1,6
1981,Ferry/positioning,1,0
1981,Fire fighting,0,0
1981,Illegal Flight,0,0
1981,International Scheduled Passenger,0,0
1981,Military,0,0
1981,Non Scheduled Passenger,3,201
1981,Official state flight,0,0
1981,Parachuting,0,0
1981,Passenger,0,0
1981,Private,0,0
1981,Scheduled Passenger,4,47
1981,Survey/research,0,0
1981,Test,0,0
1981,Training,0,0
1981,Unknown,0,0
1982,"Aerial Work (Calibration, Photo)",0,0
1982,Agricultural,0,0
1982,Ambulance,0,0
1982,Cargo,3,18
1982,Demonstration,0,0
1982,Executive,0,0
1982,Ferry/positioning,0,0
1982,Fire fighting,0,0
1982,Illegal Flight,0,0
1982,International Scheduled Passenger,2,17
1982,Military,2,11
1982,Non Scheduled Passenger,1,0
1982,Official state flight,0,0
1982,Parachuting,0,0
1982,Passenger,0,0
1982,Private,1,10
1982,Scheduled Passenger,5,294
1982,Survey/research,0,0
1982,Test,0,0
1982,Training,0,0
1982,Unknown,0,0
1983,"Aerial Work (Calibration, Photo)",0,0
1983,Agricultural,0,0
1983,Ambulance,0,0
1983,Cargo,4,2
1983,Demonstration,1,0
1983,Executive,0,0
1983,Ferry/positioning,1,3
1983,Fire fighting,0,0
1983,Illegal Flight,0,0
1983,International Scheduled Passenger,1,51
1983,Military,0,0
1983,Non Scheduled Passenger,2,2
1983,Official state flight,0,0
1983,Parachuting,0,0
1983,Passenger,0,0
1983,Private,0,0
1983,Scheduled Passenger,12,201
1983,Survey/research,0,0
1983,Test,0,0
1983,Training,1,0
1983,Unknown,0,0
1984,"Aerial Work (Calibration, Photo)",0,0
1984,Agricultural,0,0
1984,Ambulance,0,0
1984,Cargo,1,4
1984,Demonstration,0,0
1984,Executive,1,3
1984,Ferry/positioning,1,1
1984,Fire fighting,0,0
1984,Illegal Flight,0,0
1984,International Scheduled Passenger,1,0
1984,Military,1,6
1984,Non Scheduled Passenger,2,11
1984,Official state flight,0,0
1984,Parachuting,1,0
1984,Passenger,0,0
1984,Private,0,0
1984,Scheduled Passenger,0,0
1984,Survey/research,0,0
1984,Test,1,0
1984,Training,2,3
1984,Unknown,0,0
1985,"Aerial Work (Calibration, Photo)",0,0
1985,Agricultural,0,0
1985,Ambulance,0,0
1985,Cargo,1,2
1985,Demonstration,0,0
1985,Executive,1,2
1985,Ferry/positioning,0,0
1985,Fire fighting,0,0
1985,Illegal Flight,0,0
1985,International Scheduled Passenger,4,390
1985,Military,1,7
1985,Non Scheduled Passenger,1,0
1985,Official state flight,0,0
1985,Parachuting,0,0
1985,Passenger,0,0
1985,Private,0,0
1985,Scheduled Passenger,8,250
1985,Survey/research,0,0
1985,Test,0,0
1985,Training,0,0
1985,Unknown,1,0
1986,"Aerial Work (Calibration, Photo)",0,0
1986,Agricultural,0,0
1986,Ambulance,0,0
1986,Cargo,0,0
1986,Demonstration,0,0
1986,Executive,1,6
1986,Ferry/positioning,0,0
1986,Fire fighting,0,0
1986,Illegal Flight,0,0
1986,International Scheduled Passenger,1,13
1986,Military,0,0
1986,Non Scheduled Passenger,1,0
1986,Official state flight,1,34
1986,Parachuting,0,0
1986,Passenger,0,0
1986,Private,1,2
1986,Scheduled Passenger,6,17
1986,Survey/research,0,0
1986,Test,0,0
1986,Training,1,4
1986,Unknown,1,0
1987,"Aerial Work (Calibration, Photo)",0,0
1987,Agricultural,0,0
1987,Ambulance,0,0
1987,Cargo,4,8
1987,Demonstration,1,3
1987,Executive,1,0
1987,Ferry/positioning,2,0
1987,Fire fighting,0,0
1987,Illegal Flight,0,0
1987,International Scheduled Passenger,1,37
1987,Military,2,55
1987,Non Scheduled Passenger,2,60
1987,Official state flight,0,0
1987,Parachuting,0,0
1987,Passenger,0,0
1987,Private,0,0
1987,Scheduled Passenger,9,224
1987,Survey/research,0,0
1987,Test,1,0
1987,Training,1,5
1987,Unknown,0,0
1988,"Aerial Work (Calibration, Photo)",0,0
1988,Agricultural,0,0
1988,Ambulance,0,0
1988,Cargo,2,9
1988,Demonstration,0,0
1988,Executive,0,0
1988,Ferry/positioning,2,3
1988,Fire fighting,0,0
1988,Illegal Flight,0,0
1988,International Scheduled Passenger,2,7
1988,Military,1,0
1988,Non Scheduled Passenger,0,0
1988,Official state flight,0,0
1988,Parachuting,0,0
1988,Passenger,0,0
1988,Private,0,0
1988,Scheduled Passenger,8,166
1988,Survey/research,0,0
1988,Test,0,0
1988,Training,0,0
1988,Unknown,2,4
1989,"Aerial Work (Calibration, Photo)",0,0
1989,Agricultural,1,4
1989,Ambulance,1,4
1989,Cargo,3,18
1989,Demonstration,0,0
1989,Executive,3,12
1989,Ferry/positioning,0,0
1989,Fire fighting,0,0
1989,Illegal Flight,0,0
1989,International Scheduled Passenger,1,170
1989,Military,2,6
1989,Non Scheduled Passenger,4,124
1989,Official state flight,0,0
1989,Parachuting,0,0
1989,Passenger,1,0
1989,Private,0,0
1989,Scheduled Passenger,10,179
1989,Survey/research,0,0
1989,Test,0,0
1989,Training,0,0
1989,Unknown,0,0
1990,"Aerial Work (Calibration, Photo)",1,0
1990,Agricultural,0,0
1990,Ambulance,0,0
1990,Cargo,2,0
1990,Demonstration,0,0
1990,Executive,1,3
1990,Ferry/positioning,2,1
1990,Fire fighting,0,0
1990,Illegal Flight,0,0
1990,International Scheduled Passenger,1,0
1990,Military,2,10
1990,Non Scheduled Passenger,1,2
1990,Official state flight,0,0
1990,Parachuting,0,0
1990,Passenger,0,0
1990,Private,0,0
1990,Scheduled Passenger,4,68
1990,Survey/research,0,0
1990,Test,0,0
1990,Training,1,0
1990,Unknown,1,0
1991,"Aerial Work (Calibration, Photo)",0,0
1991,Agricultural,0,0
1991,Ambulance,0,0
1991,Cargo,5,31
1991,Demonstration,0,0
1991,Executive,1,9
1991,Ferry/positioning,1,2
1991,Fire fighting,0,0
1991,Illegal Flight,0,0
1991,International Scheduled Passenger,3,0
1991,Military,0,0
1991,Non Scheduled Passenger,0,0
1991,Official state flight,0,0
1991,Parachuting,0,0
1991,Passenger,0,0
1991,Private,0,0
1991,Scheduled Passenger,6,129
1991,Survey/research,0,0
1991,Test,0,0
1991,Training,0,0
1991,Unknown,2,2
1992,"Aerial Work (Calibration, Photo)",0,0
1992,Agricultural,0,0
1992,Ambulance,0,0
1992,Cargo,7,20
1992,Demonstration,0,0
1992,Executive,1,8
1992,Ferry/positioning,1,4
1992,Fire fighting,1,2
1992,Illegal Flight,0,0
1992,International Scheduled Passenger,1,113
1992,Military,4,170
1992,Non Scheduled Passenger,2,48
1992,Official state flight,0,0
1992,Parachuting,0,0
1992,Passenger,0,0
1992,Private,1,0
1992,Scheduled Passenger,5,70
1992,Survey/research,0,0
1992,Test,1,3
1992,Training,1,1
1992,Unknown,0,0
1993,"Aerial Work (Calibration, Photo)",0,0
1993,Agricultural,0,0
1993,Ambulance,0,0
1993,Cargo,1,0
1993,Demonstration,0,0
1993,Executive,1,0
1993,Ferry/positioning,2,2
1993,Fire fighting,0,0
1993,Illegal Flight,0,0
1993,International Scheduled Passenger,4,2
1993,Military,1,30
1993,Non Scheduled Passenger,3,110
1993,Official state flight,0,0
1993,Parachuting,0,0
1993,Passenger,0,0
1993,Private,1,3
1993,Scheduled Passenger,8,81
1993,Survey/research,0,0
1993,Test,1,3
1993,Training,0,0
1993,Unknown,0,0
1994,"Aerial Work (Calibration, Photo)",0,0
1994,Agricultural,0,0
1994,Ambulance,0,0
1994,Cargo,5,3
1994,Demonstration,0,0
1994,Executive,0,0
1994,Ferry/positioning,2,5
1994,Fire fighting,0,0
1994,Illegal Flight,0,0
