words,count
runway,1847
airport,1154
feet,1047
crew,1011
crashed,817
approach,816
landing,810
left,655
takeoff,644
plane,639
pilot,593
engine,589
right,589
departed,497
air,437
fire,413
gear,385
accident,377
passengers,377
struck,369
two,348
ground,340
altitude,320
control,314
operated,313
passenger,304
captain,298
cleared,295
near,287
destroyed,282
dc,277
wing,274
reported,271
one,267
weather,266
took,265
time,256
fl,249
damage,246
international,244
boeing,242
cargo,233
first,218
power,218
turn,215
minutes,214
sustained,213
killed,211
board,207
members,206
area,190
fuel,189
later,189
miles,189
following,186
c,185
three,183
side,182
continued,181
route,180
main,179
nose,179
approximately,178
conditions,178
descent,176
flying,176
lost,175
made,172
rest,168
shortly,164
knots,161
substantial,161
impacted,160
landed,160
controller,156
visibility,156
came,155
end,155
damaged,154
collided,153
back,151
engines,151
injuries,150
failed,149
airlines,147
en,147
terrain,146
stop,145
speed,142
visual,141
mountain,140
new,140
short,138
hours,136
scheduled,135
copilot,134
carried,133
contact,133
field,133
degrees,132
due,131
land,131
pilots,131
cessna,129
emergency,129
return,129
trees,129
transport,128
high,126
touched,126
ils,125
four,122
officer,122
threshold,119
injured,118
sea,118
de,117
departure,117
instrument,116
low,116
causing,115
flew,114
forced,114
fuselage,114
descended,113
jet,113
started,110
tower,110
final,109
r,109
l,106
position,106
descend,105
height,105
however,104
b,102
beyond,102
climbed,102
deg,102
contacted,101
flaps,101
operating,101
broke,100
began,99
occupants,99
received,99
training,99
went,99
last,98
local,98
registered,98
decided,97
heading,97
caught,96
via,96
clearance,95
rain,95
douglas,93
thrust,93
climb,92
entered,92
hand,92
san,92
seconds,92
suffered,92
attitude,91
failure,91
water,91
south,90
cabin,89
radio,89
km,88
north,88
collapsed,87
ifr,87
immediately,87
overran,87
requested,87
wind,87
also,86
fog,86
touchdown,86
around,85
force,85
full,85
level,84
poor,84
light,83
caused,82
five,82
clouds,81
found,81
roll,80
mission,79
attempted,78
cockpit,78
ft,78
canada,77
flown,77
island,77
several,77
six,77
traffic,77
turned,76
propeller,75
service,75
descending,74
domestic,74
base,73
afb,72
city,72
leg,72
normal,72
point,72
heavy,71
system,71
course,70
excursion,70
flames,70
hit,69
approaching,68
bank,68
beechcraft,68
coming,68
hijacker,68
ran,68
second,68
taxiway,68
applied,67
carrying,67
meteorological,67
onto,67
otter,67
problems,67
impact,66
night,66
undercarriage,66
vor,66
west,66
wreckage,66
advised,65
approached,65
company,65
elevation,65
france,64
caravan,63
intermediate,63
lockheed,63
another,62
make,62
twin,62
used,62
f,61
initiated,61
learjet,61
repair,61
rolled,61
vfr,61
Â°,61
day,60
lake,60
mile,60
number,60
survived,60
mount,59
report,59
airspeed,58
antonov,58
climbing,58
nm,58
past,58
plan,58
warning,58
fly,57
hill,57
king,57
part,57
super,57
tail,57
tried,57
turbulence,57
carry,56
collision,56
dhc,56
forward,56
indicated,56
named,56
airborne,55
bay,55
east,55
heard,55
instructed,55
radar,55
taxied,55
airbus,54
cloud,54
constellation,54
cuba,54
destination,54
seven,54
became,53
hydraulic,53
appeared,52
hard,52
passed,52
prevailed,52
separated,52
stalled,52
atc,51
ca,51
located,51
river,51
test,51
demanded,50
lights,50
missed,50
occurred,50
retracted,50
slope,50
taken,50
extended,49
go,49
loss,49
maintenance,49
pitch,49
planned,49
stops,49
utc,49
york,49
along,48
erupted,48
fence,48
followed,48
g,48
kts,48
line,48
miami,48
n,48
prior,48
procedure,48
smoke,48
station,48
uneventful,48
upon,48
aboard,47
check,47
corporate,47
door,47
maintain,47
military,47
minor,47
missing,47
reportedly,47
seat,47
stated,47
bad,46
crash,46
cruising,46
ditch,46
given,46
port,46
surface,46
airways,45
attempt,45
aviation,45
charter,45
crossed,45
personnel,45
pressure,45
range,45
